S.No,City,Total Population,Male Population,Female Population,Juveniles Apprehended - Boys,Juveniles Apprehended - Girls,Juveniles Apprehended - Total,18 and above and below 30 years - Male,18 and above and below 30 years - Female,18 and above and below 30 years - Total,30 and above and below 45 years - Male,30 and above and below 45 years - Female,30 and above and below 45 years - Total,45 and above and below 60 years - Male,45 and above and below 60 years - Female,45 and above and below 60 years - Total,60 years and above - Male,60 years and above - Female,60 years and above - Total,Total - Male,Total - Female,Total - Total Persons Arrested by age and Sex
1,Ahmedabad (Gujarat),6361084,3350582,3010502,322,4,326,8107,518,8625,6389,668,7057,3591,411,4002,1319,87,1406,19728,1688,21416
2,Bengaluru(Karnataka),8520435,4433855,4086580,281,1,282,22355,554,22909,14601,778,15379,5020,352,5372,507,73,580,42764,1758,44522
3,Chennai(Tamil Nadu),4646732,2335844,2310888,440,0,440,17983,3125,21108,23849,3376,27225,7867,177,8044,4,0,4,50143,6678,56821
4,Coimbatore(Tamil Nadu),1050721,526163,524558,33,0,33,2420,106,2526,1518,160,1678,345,42,387,32,0,32,4348,308,4656
5,Delhi(Capital),11034555,5882117,5152438,3534,21,3555,47095,664,47759,26622,726,27348,6902,266,7168,406,5,411,84559,1682,86241
6,Ghaziabad(Uttar Pradesh),1648643,874607,774036,10,0,10,3520,198,3718,3397,279,3676,1004,108,1112,26,2,28,7957,587,8544
7,Hyderabad(Telangana),7674689,3927029,3747660,180,0,180,5351,229,5580,6258,334,6592,1731,125,1856,118,18,136,13638,706,14344
8,Indore(Madhya Pradesh),2170295,1127910,1042385,475,10,485,7202,408,7610,4007,333,4340,1272,164,1436,116,16,132,13072,931,14003
9,Jaipur(Rajasthan),3046163,1603125,1443038,316,7,323,6778,292,7070,4542,372,4914,1700,179,1879,79,13,92,13415,863,14278
10,Kanpur(Uttar Pradesh),2920496,1572334,1348162,14,0,14,5519,94,5613,3268,102,3370,1647,113,1760,0,0,0,10448,309,10757
11,Kochi(Kerala),2119724,1044243,1075481,72,0,72,7608,70,7678,6616,180,6796,2904,65,2969,251,3,254,17451,318,17769
12,Kolkata(West Bengal),4496694,2356766,2139928,20,2,22,7658,431,8089,7524,438,7962,5545,394,5939,38,2,40,20785,1267,22052
13,Kozhikode(Kerala),431560,206157,225403,89,0,89,3980,19,3999,3285,83,3368,1092,63,1155,138,4,142,8584,169,8753
14,Lucknow(Uttar Pradesh),2817105,1460970,1356135,46,0,46,6788,0,6788,5005,0,5005,1453,0,1453,0,0,0,13292,0,13292
15,Mumbai(Maharashtra),12442373,6715931,5726442,1098,29,1127,19752,1406,21158,11577,1263,12840,3287,504,3791,498,103,601,36212,3305,39517
16,Nagpur(Maharashtra),2405665,1225405,1180260,517,6,523,6111,211,6322,3565,268,3833,1193,198,1391,128,4,132,11514,687,12201
17,Patna(Bihar),1684222,893399,790823,100,0,100,7102,86,7188,2210,43,2253,536,0,536,0,0,0,9948,129,10077
18,Pune(Maharashtra),3124458,1603675,1520783,1036,8,1044,9182,371,9553,3919,504,4423,1178,301,1479,196,62,258,15511,1246,16757
19,Surat(Gujarat),4467797,2543623,1924174,299,1,300,7565,97,7662,10118,313,10431,3487,234,3721,60,25,85,21529,670,22199
Grand Total,,83063411,43683735,39379676,8882,89,8971,202076,8879,210955,148270,10220,158490,51754,3696,55450,3916,417,4333,414898,23301,438199
